"filename", "language", "CSS", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Okul\Desktop\breatherSurfaces\Common\MV.js", "JavaScript", 0, 0, 0, 456, 79, 139, 674
"c:\Users\Okul\Desktop\breatherSurfaces\Common\initShaders.js", "JavaScript", 0, 0, 0, 49, 3, 7, 59
"c:\Users\Okul\Desktop\breatherSurfaces\Common\myWebGLUtils.js", "JavaScript", 0, 0, 0, 6, 2, 2, 10
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\Breather.js", "JavaScript", 0, 0, 0, 92, 3, 14, 109
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\Cube.js", "JavaScript", 0, 0, 0, 57, 2, 11, 70
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\GeometricObject.js", "JavaScript", 0, 0, 0, 11, 27, 3, 41
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\Material.js", "JavaScript", 0, 0, 0, 30, 0, 4, 34
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\ParametricSurface.js", "JavaScript", 0, 0, 0, 195, 118, 65, 378
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\Plane.js", "JavaScript", 0, 0, 0, 49, 8, 11, 68
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\ResizedCube.js", "JavaScript", 0, 0, 0, 6, 0, 2, 8
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\SceneNode.js", "JavaScript", 0, 0, 0, 38, 12, 14, 64
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\Sphere.js", "JavaScript", 0, 0, 0, 11, 1, 2, 14
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\Texture.js", "JavaScript", 0, 0, 0, 4, 0, 1, 5
"c:\Users\Okul\Desktop\breatherSurfaces\Objects\Torus.js", "JavaScript", 0, 0, 0, 16, 2, 5, 23
"c:\Users\Okul\Desktop\breatherSurfaces\Octopus\Head.js", "JavaScript", 0, 0, 0, 9, 0, 2, 11
"c:\Users\Okul\Desktop\breatherSurfaces\Octopus\Leg.js", "JavaScript", 0, 0, 0, 16, 0, 5, 21
"c:\Users\Okul\Desktop\breatherSurfaces\Octopus\Leg\LowerLeg.js", "JavaScript", 0, 0, 0, 9, 0, 2, 11
"c:\Users\Okul\Desktop\breatherSurfaces\Octopus\Leg\MiddleLeg.js", "JavaScript", 0, 0, 0, 9, 0, 2, 11
"c:\Users\Okul\Desktop\breatherSurfaces\Octopus\Leg\UpperLeg.js", "JavaScript", 0, 0, 0, 9, 0, 2, 11
"c:\Users\Okul\Desktop\breatherSurfaces\Octopus\Octopus.js", "JavaScript", 0, 0, 0, 2, 0, 3, 5
"c:\Users\Okul\Desktop\breatherSurfaces\Scene\AggregateLight.js", "JavaScript", 0, 0, 0, 14, 1, 3, 18
"c:\Users\Okul\Desktop\breatherSurfaces\Scene\BreatherScene.js", "JavaScript", 0, 0, 0, 40, 0, 11, 51
"c:\Users\Okul\Desktop\breatherSurfaces\Scene\Camera.js", "JavaScript", 0, 0, 0, 50, 0, 16, 66
"c:\Users\Okul\Desktop\breatherSurfaces\Scene\EnvironmentLight.js", "JavaScript", 0, 0, 0, 24, 0, 8, 32
"c:\Users\Okul\Desktop\breatherSurfaces\Scene\PointLightSource.js", "JavaScript", 0, 0, 0, 17, 0, 6, 23
"c:\Users\Okul\Desktop\breatherSurfaces\Scene\Scene.js", "JavaScript", 0, 0, 0, 221, 44, 86, 351
"c:\Users\Okul\Desktop\breatherSurfaces\Scene\TestScene.js", "JavaScript", 0, 0, 0, 16, 11, 7, 34
"c:\Users\Okul\Desktop\breatherSurfaces\index.html", "HTML", 0, 0, 100, 0, 5, 36, 141
"c:\Users\Okul\Desktop\breatherSurfaces\main.js", "JavaScript", 0, 0, 0, 93, 24, 34, 151
"c:\Users\Okul\Desktop\breatherSurfaces\octopus-index.html", "HTML", 0, 0, 104, 0, 11, 55, 170
"c:\Users\Okul\Desktop\breatherSurfaces\perlinTest.html", "HTML", 0, 0, 168, 0, 4, 52, 224
"c:\Users\Okul\Desktop\breatherSurfaces\phong.html", "HTML", 0, 0, 105, 0, 2, 31, 138
"c:\Users\Okul\Desktop\breatherSurfaces\readme.md", "Markdown", 0, 4, 0, 0, 0, 4, 8
"c:\Users\Okul\Desktop\breatherSurfaces\styles.css", "CSS", 45, 0, 0, 0, 24, 16, 85
"Total", "-", 45, 4, 477, 1549, 383, 661, 3119
